,Ingrediente,Cantidad a comprar
0,Barbecued Chicken,103
1,Red Peppers,693
2,Green Peppers,209
3,Tomatoes,1142
4,Red Onions,830
5,Barbecue Sauce,103
6,Chicken,373
7,Artichoke,99
8,Spinach,387
9,Garlic,1199
10,Jalapeno Peppers,256
11,Fontina Cheese,138
12,Gouda Cheese,99
13,Mushrooms,357
14,Asiago Cheese,136
15,Alfredo Sauce,39
16,Pesto Sauce,109
17,Corn,156
18,Cilantro,156
19,Chipotle Sauce,156
20,Pineapple,200
21,Thai Sweet Chilli Sauce,109
22,Bacon,124
23,Pepperoni,363
24,Italian Sausage,36
25,Chorizo Sausage,36
26,Sliced Ham,91
27,Mozzarella Cheese,458
28,Capocollo,296
29,Goat Cheese,151
30,Oregano,63
31,Anchovies,58
32,Green Olives,241
33,Kalamata Olives,148
34,Feta Cheese,198
35,Beef Chuck Roast,76
36,Brie Carre Cheese,9
37,Prosciutto,9
38,Caramelized Onions,9
39,Pears,9
40,Thyme,9
41,Nduja Salami,39
42,Pancetta,39
43,Friggitello Peppers,39
44,Calabrese Salami,83
45,Genoa Salami,62
46,Prosciutto di San Daniele,56
47,Arugula,56
48,Coarse Sicilian Salami,71
49,Luganega Sausage,71
50,Onions,71
51,Soppressata Salami,39
52,Artichokes,229
53,Peperoncini verdi,87
54,Provolone Cheese,81
55,Smoked Gouda Cheese,81
56,Romano Cheese,81
57,Blue Cheese,81
58,Ricotta Cheese,98
59,Gorgonzola Piccante Cheese,98
60,Parmigiano Reggiano Cheese,98
61,Eggplant,35
62,Zucchini,93
63,Sun-dried Tomatoes,72
64,Plum Tomatoes,37
